Name,Epoch,Rest_DeltaT,New Peak 3x3 mJy,New RMS mJy
ZTF20abfcrzj,3,1064.138529130794,0.28634365298785264,0.1426839387678491
ZTF20abgtvhl,1,-976.09464717836,1.2475898256525397,0.14621370531565545
ZTF20abgtvhl,2,57.507239243333714,1.4160345308482647,0.16468354283756037
ZTF20abgtvhl,3,949.6274986263164,1.376292435452342,0.16463350312235575
ZTF20abidglx,1,-1763.0832015809128,1.282129087485373,0.13393701198979388
ZTF20abidglx,2,-850.0397233200432,0.4620332684015894,0.12663752035425188
ZTF20abidglx,3,82.76660079062869,1.215968397445977,0.132531981962216
ZTF20abisysx,1,-357.22560692334554,0.4770126543007791,0.13496072350317093
ZTF20abisysx,2,448.1249465821895,0.6712769973091781,0.15973761227720482
ZTF20abisysx,3,1334.6563118958425,0.6179426563903689,0.15159664352218966
ZTF20abjkxwa,1,-429.2972296016004,0.498471490573138,0.11776881520835786
ZTF20abjkxwa,2,449.2606451612079,0.15571137191727755,0.11019513321615294
ZTF20abjkxwa,3,1330.664819734263,0.15527450887020677,0.13622649524289182
ZTF20aborzxc,1,-1030.8016862743077,0.44630005140788853,0.12010051597205425
ZTF20aborzxc,2,-22.9585490194058,0.4232384962961077,0.14261073154929027
ZTF20aborzxc,3,872.1394901962805,0.5208685179241002,0.12783362155476918
ZTF20abpuxna,1,-467.5305165226975,0.7108577410690486,0.21726032271664805
ZTF20abpuxna,2,450.2814044161536,0.5958339897915721,0.13842915178935175
ZTF20abpuxna,3,1401.8718923716815,0.8510082843713463,0.15216364004970467
ZTF20abqmtsh,1,-1036.2368658699534,1.7985353479161859,0.13422651170327696
ZTF20abqmtsh,2,3.692114589917775,2.030187752097845,0.16727883304301697
ZTF20abqmtsh,3,908.020599473877,1.9577709026634693,0.16550620434910424
ZTF20abvdtgl,1,-689.8884882795668,0.4596126673277467,0.1297807325124389
ZTF20abvdtgl,2,219.45217106109249,0.7460725028067826,0.14875483367821807
ZTF20abvdtgl,3,1115.972317581239,0.5534306401386856,0.15932254889613146
ZTF20abvycvf,1,-1027.2935375947563,3.229417139664293,0.22731941886483129
ZTF20abvycvf,2,-20.6609144803582,3.8937488570809364,0.2551899090186203
ZTF20abvycvf,3,877.3845160531865,4.219713620841503,0.2868068043774186
ZTF20abyxcib,1,-943.1695381782304,23.907745257019997,0.17498291124075593
ZTF20abyxcib,2,39.36639581401427,23.779939860105518,0.20864957861112857
ZTF20abyxcib,3,905.2808539614822,23.751037195324898,0.19916892811886316
ZTF20acaazkt,1,-477.482394636002,0.2283797657582909,0.14613580410381447
ZTF20acaazkt,2,353.9352298850707,1.5409436309710147,0.11586847485833057
ZTF20acaazkt,3,1292.6325478927336,0.8062316337600351,0.14335636470591387
ZTF20acgremo,1,-512.7885714284189,0.7846480584703386,0.12687690506740917
ZTF20acgremo,2,416.7352380953906,0.7673056097701192,0.12974140360372027
ZTF20acgremo,3,1248.163809523962,0.8313057478517295,0.13422260027670457
ZTF20achpcvt,1,-1069.9544794190017,0.1399510802002624,0.11168193555060067
ZTF20achpcvt,2,-33.634866828202625,0.23371796123683453,0.12999531188548624
ZTF20achpcvt,3,814.7912832928628,0.46670247684232896,0.11511646172514799
ZTF20acmcqwc,1,-944.191008185148,3.2390046399086714,0.1869997959995031
ZTF20acmcqwc,2,16.86256255072206,3.1808810308575626,0.17244121893971126
ZTF20acmcqwc,3,,3.0738383065909143,0.16851279707728306
ZTF20acnvniw,1,-1014.6031124597356,0.16731012146919966,0.1471330810687533
ZTF20acnvniw,2,-104.35548595489064,0.13711233623325825,0.13811736698584062
ZTF20acnvniw,3,794.1470098853755,2.9233891982585187,0.18064217604124924
ZTF20acordqz,1,-1084.6917430866658,0.5065969345730699,0.1760150400582956
ZTF20acordqz,2,-83.73205018839343,0.7744440226815642,0.22343336081799003
