Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,File Path,RMS
ZTF18aaezzww,1,08:24:43.24,+22:44:53.6,SN Ia,0.0252,108.0,-1566.0436987903963,final_luminosity_arrays\ZTF18aaezzww_epoch_1_lum.npy,1.6677105908752022e+27
ZTF18aaezzww,2,08:24:43.24,+22:44:53.6,SN Ia,0.0252,108.0,-614.034334763865,final_luminosity_arrays\ZTF18aaezzww_epoch_2_lum.npy,1.728671462667052e+27
ZTF18aaezzww,3,08:24:43.24,+22:44:53.6,SN Ia,0.0252,108.0,281.40070230207346,final_luminosity_arrays\ZTF18aaezzww_epoch_3_lum.npy,1.887975311628475e+27
ZTF18aafdigb,1,07:07:00.42,+27:04:08.2,SN Ia,0.063,270.0,-1536.5927798681396,final_luminosity_arrays\ZTF18aafdigb_epoch_1_lum.npy,1.2521409729377217e+28
ZTF18aafdigb,2,07:07:00.42,+27:04:08.2,SN Ia,0.063,270.0,-632.5476246470672,final_luminosity_arrays\ZTF18aafdigb_epoch_2_lum.npy,9.66323864249714e+27
ZTF18aafdigb,3,07:07:00.42,+27:04:08.2,SN Ia,0.063,270.0,263.03092662292346,final_luminosity_arrays\ZTF18aafdigb_epoch_3_lum.npy,1.2773870210271834e+28
ZTF18aafpfwr,1,06:57:22.61,+21:40:15.3,SN Ia,0.078,334.2857142857143,-830.6608818197564,final_luminosity_arrays\ZTF18aafpfwr_epoch_1_lum.npy,2.3917393134687543e+28
ZTF18aafpfwr,2,06:57:22.61,+21:40:15.3,SN Ia,0.078,334.2857142857143,88.63410890380572,final_luminosity_arrays\ZTF18aafpfwr_epoch_2_lum.npy,1.641596093257597e+28
ZTF18aafpfwr,3,06:57:22.61,+21:40:15.3,SN Ia,0.078,334.2857142857143,940.211103337943,final_luminosity_arrays\ZTF18aafpfwr_epoch_3_lum.npy,1.964360788695312e+28
ZTF18aafzers,1,08:12:05.75,+29:24:14.2,SN Ia-pec,0.0487,208.7142857142857,-614.3690026716454,final_luminosity_arrays\ZTF18aafzers_epoch_1_lum.npy,9.738182129259748e+27
ZTF18aafzers,2,08:12:05.75,+29:24:14.2,SN Ia-pec,0.0487,208.7142857142857,302.0036491830319,final_luminosity_arrays\ZTF18aafzers_epoch_2_lum.npy,4.73762786028684e+27
ZTF18aafzers,3,08:12:05.75,+29:24:14.2,SN Ia-pec,0.0487,208.7142857142857,1207.8871239613288,final_luminosity_arrays\ZTF18aafzers_epoch_3_lum.npy,8.055871893815593e+27
ZTF18aagkwgz,1,06:52:55.81,+27:21:57.7,SN Ia,0.03775,161.78571428571428,-1908.3879643459327,final_luminosity_arrays\ZTF18aagkwgz_epoch_1_lum.npy,4.583807408101032e+27
ZTF18aagkwgz,2,06:52:55.81,+27:21:57.7,SN Ia,0.03775,161.78571428571428,-982.3460467357186,final_luminosity_arrays\ZTF18aagkwgz_epoch_2_lum.npy,4.322991643337412e+27
ZTF18aagkwgz,3,06:52:55.81,+27:21:57.7,SN Ia,0.03775,161.78571428571428,-64.97673813538131,final_luminosity_arrays\ZTF18aagkwgz_epoch_3_lum.npy,5.060245648880162e+27
ZTF18aagpzjk,1,07:59:25.01,+16:25:34.5,SN II,0.0163,69.85714285714286,390.4963106003667,final_luminosity_arrays\ZTF18aagpzjk_epoch_1_lum.npy,7.505955340742219e+26
ZTF18aagpzjk,2,07:59:25.01,+16:25:34.5,SN II,0.0163,69.85714285714286,1326.2436293054734,final_luminosity_arrays\ZTF18aagpzjk_epoch_2_lum.npy,6.773000433417291e+26
ZTF18aagpzjk,3,07:59:25.01,+16:25:34.5,SN II,0.0163,69.85714285714286,2234.4400280066443,final_luminosity_arrays\ZTF18aagpzjk_epoch_3_lum.npy,7.084536812825282e+26
ZTF18aagrdcs,1,14:33:19.98,+41:16:02.3,SN Ib,0.0181,77.57142857142857,378.91169826148575,final_luminosity_arrays\ZTF18aagrdcs_epoch_1_lum.npy,7.019607272940286e+26
ZTF18aagrdcs,2,14:33:19.98,+41:16:02.3,SN Ib,0.0181,77.57142857142857,1307.1112857283358,final_luminosity_arrays\ZTF18aagrdcs_epoch_2_lum.npy,6.95358425743477e+26
ZTF18aagrdcs,3,14:33:19.98,+41:16:02.3,SN Ib,0.0181,77.57142857142857,2231.381986052469,final_luminosity_arrays\ZTF18aagrdcs_epoch_3_lum.npy,8.242413662106062e+26
ZTF18aagrtxs,1,13:14:25.45,+50:58:39.7,SN Ia,0.02966,127.11428571428571,-123.60390808618246,final_luminosity_arrays\ZTF18aagrtxs_epoch_1_lum.npy,2.3835558865404372e+27
ZTF18aagrtxs,2,13:14:25.45,+50:58:39.7,SN Ia,0.02966,127.11428571428571,833.9937455082079,final_luminosity_arrays\ZTF18aagrtxs_epoch_2_lum.npy,2.660666258647412e+27
ZTF18aagrtxs,3,13:14:25.45,+50:58:39.7,SN Ia,0.02966,127.11428571428571,1724.5789872384878,final_luminosity_arrays\ZTF18aagrtxs_epoch_3_lum.npy,2.1903004961585152e+27
ZTF18aagstdc,1,15:50:03.55,+42:05:18.5,SN Ia,0.03,128.57142857142858,348.2912621361393,final_luminosity_arrays\ZTF18aagstdc_epoch_1_lum.npy,2.700354341906312e+27
ZTF18aagstdc,2,15:50:03.55,+42:05:18.5,SN Ia,0.03,128.57142857142858,1246.3495145633235,final_luminosity_arrays\ZTF18aagstdc_epoch_2_lum.npy,2.682249721796669e+27
