Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum
ZTF18acqxsyi,3,09:39:28.61,+26:55:56.7,SN Ia,0.0636,272.57142857142856,1925.9991181245364,2.911542029794384e+28,1.3748637683813502e+28,0.32752551487647,0.1546635777175521,final_luminosity_arrays\ZTF18acqxsyi_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxsyi_epoch_3.fits,1.5365555887308124e+28
ZTF18acqxwgl,1,08:10:23.96,+52:13:11.7,SN Ia-pec,0.06,257.1428571428572,-397.59064902164886,2.3467022659835864e+28,9.336563591918612e+27,0.2966141037177294,0.118012272943433,final_luminosity_arrays\ZTF18acqxwgl_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxwgl_epoch_1.fits,1.9055320499270716e+28
ZTF18acqxwgl,2,08:10:23.96,+52:13:11.7,SN Ia-pec,0.06,257.1428571428572,648.6357660726908,-1.5877522600868264e+27,1.024458269942797e+28,-0.0200685753952711,0.1294894505686139,final_luminosity_arrays\ZTF18acqxwgl_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxwgl_epoch_2.fits,-9.737540047693492e+27
ZTF18acqxwgl,3,08:10:23.96,+52:13:11.7,SN Ia-pec,0.06,257.1428571428572,1450.522558525521,1.0431861457756636e+28,9.880287009631688e+27,0.1318547001574188,0.1248848268274371,final_luminosity_arrays\ZTF18acqxwgl_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxwgl_epoch_3.fits,2.6223294876678787e+27
ZTF18acqxyiq,1,09:59:18.19,+34:53:43.7,SN IIb,0.03849,164.95714285714288,190.14242500605056,1.0316967837429663e+28,4.89200770095938e+27,0.3168783441651612,0.1502567275561077,final_luminosity_arrays\ZTF18acqxyiq_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxyiq_epoch_1.fits,6.575902591192888e+27
ZTF18acqxyiq,2,09:59:18.19,+34:53:43.7,SN IIb,0.03849,164.95714285714288,1077.9699438073872,9.750825319776364e+27,3.970588020368817e+27,0.2994896785821765,0.1219555648485795,final_luminosity_arrays\ZTF18acqxyiq_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxyiq_epoch_2.fits,5.017912438148667e+27
ZTF18acqxyiq,3,09:59:18.19,+34:53:43.7,SN IIb,0.03849,164.95714285714288,1978.3156380365083,6.957735383010638e+27,4.153053428024844e+27,0.2137019037036225,0.1275599417675302,final_luminosity_arrays\ZTF18acqxyiq_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxyiq_epoch_3.fits,2.2829028753141335e+27
ZTF18acrcetn,1,01:03:48.30,+10:35:32.3,SN Ia-91bg,0.04,171.42857142857142,-349.4628294160625,1.317365269500024e+28,4.575028950163524e+27,0.3746472357306629,0.1301117386198491,final_luminosity_arrays\ZTF18acrcetn_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcetn_epoch_1.fits,7.144384357373886e+27
ZTF18acrcetn,2,01:03:48.30,+10:35:32.3,SN Ia-91bg,0.04,171.42857142857142,638.0371705839375,1.352177952782482e+28,5.487524231938196e+27,0.3845476603601128,0.1560626886329344,final_luminosity_arrays\ZTF18acrcetn_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcetn_epoch_2.fits,6.926369130086784e+27
ZTF18acrcetn,3,01:03:48.30,+10:35:32.3,SN Ia-91bg,0.04,171.42857142857142,1479.3833244300913,1.9645487512815603e+27,4.6231841429851705e+27,0.0558700594410765,0.1314812503606162,final_luminosity_arrays\ZTF18acrcetn_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcetn_epoch_3.fits,-4.3919943048821233e+27
